"MaternalVial","vial_letter","PaternalStock","Treatment","co_inds.sum","ycv_count.sum","cvv_count.sum","vf_count.sum","num_M.sum","ycv_rr","cvv_rr","vf_rr","recomb_rate","ycv_rr_kosambi","cvv_rr_kosambi","vf_rr_kosambi","recomb_rate_kosambi"
"21","B","42","0.5x",255,8,25,222,319,0.0250783699059561,0.0783699059561129,0.695924764890282,0.799373040752351,2.50994315789244,7.9021316109672,NA,10.4120747688596
"21","C","42","0.5x",89,15,36,38,176,0.0852272727272727,0.204545454545455,0.215909090909091,0.505681818181818,8.60673867703111,21.7259461755902,23.1064725380833,53.4391573907047
"21","D","42","0.5x",30,7,8,15,87,0.0804597701149425,0.0919540229885057,0.172413793103448,0.344827586206897,8.11652689232171,9.30122777970801,17.9780666740802,35.3958213461099
"23","A","42","0.5x",42,4,21,17,80,0.05,0.2625,0.2125,0.525,5.01676738655378,29.1608721251718,22.688926297635,56.8665658093606
"23","B","42","0.5x",21,5,9,7,35,0.142857142857143,0.257142857142857,0.2,0.6,14.694666622553,28.4269642373976,21.1824465096801,64.3040773696307
"23","C","42","0.5x",7,2,2,3,14,0.142857142857143,0.142857142857143,0.214285714285714,0.5,14.694666622553,14.694666622553,22.9072682968539,52.2966015419598
"23","D","42","0.5x",3,0,1,2,10,0,0.1,0.2,0.3,0,10.1366277027041,21.1824465096801,31.3190742123842
"24","A","217","2x",123,14,33,76,375,0.0373333333333333,0.088,0.202666666666667,0.328,3.74029454999559,8.89258996372751,21.5007194270311,34.1336039407542
"24","B","217","2x",225,29,77,119,487,0.0595482546201232,0.158110882956879,0.24435318275154,0.462012320328542,5.98322189338068,16.3721741735057,26.7179689597492,49.0733650266355
"24","C","217","2x",143,25,59,59,317,0.0788643533123028,0.186119873817035,0.186119873817035,0.451104100946372,7.95282974135802,19.5510301591048,19.5510301591048,47.0548900595676
"24","D","217","2x",140,8,52,80,312,0.0256410256410256,0.166666666666667,0.256410256410256,0.448717948717949,2.56635385150208,17.3286795139986,28.327461618482,48.2224949839827
